iter	Logloss
0	0.6923030561
1	0.6918579484
2	0.6914194791
3	0.6908192523
4	0.6898348096
5	0.6889902989
6	0.6881480806
7	0.6875755537
8	0.6873974151
9	0.6867754105
10	0.6859404515
11	0.6855388994
12	0.6849793627
13	0.6843242138
14	0.6839537524
15	0.6833718648
16	0.682872217
17	0.6823717096
18	0.6819598895
19	0.6816543794
20	0.6813229365
21	0.6808396222
22	0.6804612328
23	0.679981166
24	0.6795847718
25	0.6787299453
26	0.6781288111
27	0.6777338974
28	0.6773770471
29	0.6772368286
30	0.6767686536
31	0.6761684746
32	0.6757847841
33	0.6753258265
34	0.6750535084
35	0.674807744
36	0.6744110155
37	0.6739709702
38	0.6736881931
39	0.6730873932
40	0.6727701823
41	0.6725403214
42	0.6720953092
43	0.6716939481
44	0.6712551923
45	0.6709486793
46	0.6707215406
47	0.6706923125
48	0.6701351637
49	0.6696837997
50	0.6691484765
51	0.6687565715
52	0.6681765943
53	0.6680324596
54	0.6676656756
55	0.6666609357
56	0.6661378386
57	0.66540279
58	0.6648010349
59	0.6643435578
60	0.6642982829
61	0.6642013335
62	0.6637638671
63	0.6633319407
64	0.662899871
65	0.6628681117
66	0.6627262695
67	0.6620109928
68	0.6619644762
69	0.6614954893
70	0.6610865347
71	0.6607335528
72	0.6606568529
73	0.6604743205
74	0.6604131899
75	0.660119285
76	0.6600888152
77	0.6600018951
78	0.6595675807
79	0.6591569545
80	0.6586608409
81	0.6582620588
82	0.6577155601
83	0.6576498924
84	0.6572656288
85	0.6572306697
86	0.6568382872
87	0.6566911438
88	0.6566575219
89	0.6561921169
90	0.656138532
91	0.6561213868
92	0.6557568952
93	0.6549662081
94	0.6548893649
95	0.6545468421
96	0.6543298283
97	0.6542033642
98	0.6539803805
99	0.6536958841
100	0.6534656889
101	0.6529841893
102	0.652968238
103	0.652949278
104	0.652858967
105	0.6526268614
106	0.6523466155
107	0.6520347536
108	0.6520075791
109	0.6515886429
110	0.6511549494
111	0.6508699754
112	0.6504418219
113	0.6504115432
114	0.6503869954
115	0.6503618745
116	0.650021071
117	0.6499224023
118	0.6494927682
119	0.648978602
120	0.6481512843
121	0.647867743
122	0.6476405566
123	0.6476176804
124	0.6475684893
125	0.646992858
126	0.6468779037
127	0.6468254173
128	0.6467096988
129	0.6466786082
130	0.6464919208
131	0.6464394344
132	0.6464284977
133	0.645882811
134	0.6456374764
135	0.6452372615
136	0.6448781666
137	0.6444987266
138	0.6441108333
139	0.6436738446
140	0.6434881124
141	0.6434494281
142	0.6434353872
143	0.6432416316
144	0.6432173226
145	0.6431029891
146	0.6430290592
147	0.6427339127
148	0.6422931988
149	0.6418546817
150	0.6415642155
151	0.6412674452
152	0.6411129469
153	0.6409995209
154	0.6409797489
155	0.6406227076
156	0.6401001359
157	0.6400446407
158	0.6399143559
159	0.6396158663
160	0.6394068758
161	0.6391259135
162	0.6387906022
163	0.6386575953
164	0.6384508017
165	0.6378853907
166	0.6378309462
167	0.6373648248
168	0.6371162904
169	0.6367123981
170	0.6364318179
171	0.636156109
172	0.6358628251
173	0.6356652011
174	0.6354541092
175	0.6353410175
176	0.6350578583
177	0.6346663354
178	0.6345024288
179	0.6339829614
180	0.6337098792
181	0.6334589569
182	0.6332021125
183	0.6331658162
184	0.6329872955
185	0.6329554885
186	0.6325488262
187	0.6324912774
188	0.6324035931
189	0.6318897134
190	0.6315190132
191	0.6312370002
192	0.6310151627
193	0.6306792305
194	0.6306701565
195	0.6304174193
196	0.6303471668
197	0.6303264397
198	0.6303175567
199	0.6296050978
200	0.6295867108
201	0.629305653
202	0.6288676613
203	0.6285690761
204	0.6284724133
205	0.6282008593
206	0.6279980774
207	0.6276429464
208	0.6273192404
209	0.6269176406
210	0.6267153362
211	0.6266136587
212	0.626376061
213	0.6260597098
214	0.6260213598
215	0.6257428332
216	0.6252914214
217	0.6249785087
218	0.6246704675
219	0.6244040237
220	0.6242769388
221	0.6239155037
222	0.6237877979
223	0.6233148948
224	0.6230242375
225	0.6227424634
226	0.622119026
227	0.622073178
228	0.6217343803
229	0.6212624325
230	0.6211955708
231	0.6209395861
232	0.6207552389
233	0.6203399324
234	0.6199866162
235	0.6196749453
236	0.6195581284
237	0.6195325299
238	0.6192483678
239	0.619205242
240	0.6190592448
241	0.6189139639
242	0.6187961441
243	0.6185467978
244	0.6184426846
245	0.6183644565
246	0.6183495559
247	0.6181166862
248	0.6179012006
249	0.6178183399
250	0.6177146565
251	0.617426817
252	0.617293428
253	0.6172699787
254	0.6172577048
255	0.6170938459
256	0.6168514723
257	0.6167201369
258	0.6166083824
259	0.6162013858
260	0.6160039529
261	0.6158558065
262	0.6157521709
263	0.6155657701
264	0.6153131763
265	0.6150691311
266	0.6147457594
267	0.6144957445
268	0.6144448342
269	0.614107517
270	0.6137346199
271	0.6134847005
272	0.6131710238
273	0.6131315754
274	0.6129759309
275	0.6127333186
276	0.612510908
277	0.6124060785
278	0.6121487088
279	0.6120842828
280	0.6118700389
281	0.6113265967
282	0.6111087232
283	0.611090575
284	0.6110552816
285	0.6109050816
286	0.6107817696
287	0.6106832919
288	0.6104419213
289	0.6104232
290	0.6104094456
291	0.6102468762
292	0.6102253372
293	0.6098628037
294	0.6097281252
295	0.609704246
296	0.6093739493
297	0.6091383097
298	0.6090977151
299	0.6090565952
300	0.6090415513
301	0.6090237852
302	0.6086067594
303	0.6084130516
304	0.6083956198
305	0.6080999479
306	0.6079547148
307	0.6078777761
308	0.6077441483
309	0.6073754061
310	0.607328794
311	0.6072242032
312	0.6071460228
313	0.6070970228
314	0.6067945215
315	0.6065464647
316	0.606529797
317	0.6062417187
318	0.6061702245
319	0.6060000138
320	0.6059268957
321	0.6056409666
322	0.6054106759
323	0.6053243765
324	0.6051722185
325	0.6049280779
326	0.604918765
327	0.6046186516
328	0.6045946291
329	0.6045738065
330	0.604443474
331	0.604085382
332	0.6037885639
333	0.6037491633
334	0.6034582195
335	0.6033254513
336	0.6030291586
337	0.6028636282
338	0.6027804809
339	0.6025857702
340	0.6023540467
341	0.6022952084
342	0.6020000619
343	0.6018011962
344	0.6014880448
345	0.6014380895
346	0.601419416
347	0.601258757
348	0.6008264962
349	0.6007940683
350	0.6007769709
351	0.600691961
352	0.6004440952
353	0.6001393015
354	0.5998198938
355	0.5997978772
356	0.5997854122
357	0.5995784276
358	0.599251665
359	0.5992042888
360	0.5987912269
361	0.5985547754
362	0.5983237205
363	0.5980282875
364	0.5979295232
365	0.5978967132
366	0.597667903
367	0.5976153689
368	0.5974838424
369	0.5974780159
370	0.5972876511
371	0.5970774189
372	0.596826019
373	0.59643612
374	0.5964135303
375	0.5962050174
376	0.5961046771
377	0.5960129811
378	0.5957086172
379	0.5956863618
380	0.5952435943
381	0.5948633424
382	0.5948451942
383	0.594626079
384	0.5945350516
385	0.5941663572
386	0.5939040684
387	0.5938427467
388	0.5935909647
389	0.5935456421
390	0.5932906603
391	0.5927972212
392	0.5923505852
393	0.5920890605
394	0.5919699512
395	0.5919512299
396	0.5918301148
397	0.5918190349
398	0.5915584654
399	0.5914284672
400	0.5912173753
401	0.5911372846
402	0.5909786791
403	0.5908653964
404	0.5906250287
405	0.5903686619
406	0.590325154
407	0.5900844998
408	0.5898575999
409	0.589840789
410	0.5897278883
411	0.5894678441
412	0.5893515526
413	0.5889667159
414	0.5889419771
415	0.5888167547
416	0.5886545674
417	0.5884930009
418	0.5884286227
419	0.5881420727
420	0.5879006543
421	0.5878511766
422	0.5878354164
423	0.5877680771
424	0.5875609969
425	0.5875508722
426	0.5872405385
427	0.5869877536
428	0.5867192085
429	0.58670192
430	0.5866439891
431	0.5865685787
432	0.586553105
433	0.5865336196
434	0.5862842255
435	0.5862374701
436	0.5861843151
437	0.5859545497
438	0.5858347241
439	0.5856213398
440	0.585413209
441	0.5853859867
442	0.5851820586
443	0.5849812826
444	0.5846435356
445	0.5843388851
446	0.5843263247
447	0.5843159611
448	0.584133572
449	0.5838000278
